Top Ranking															
	Market ALL (SET+mai)														
910	SE	1.94	1.94	1.88	1.94	-	"197,100.00"	"370,648.00"	"197,129.00"	"370,704.07"	0.08	"465,600,000.00"	20.27	1.56	3.09
911	TPIPP	5.8	5.9	5.8	5.8	-	"5,909,700.00"	"34,616,380.00"	"5,909,722.00"	"34,616,508.70"	0.07	"48,720,000,000.00"	14.68	1.95	5.17
912	TNR	10	10	10	10	-	"38,300.00"	"383,000.00"	"38,300.00"	"383,000.00"	0.01	"3,000,000,000.00"	12.89	2.63	3.2
913	COMAN	3.12	3.3	3.08	3.12	-	"61,100.00"	"193,140.00"	"61,100.00"	"193,140.00"	0.05	"418,080,000.00"	21.49	0.98	2.02
914	INGRS	0.54	0.55	0.54	0.54	-	"721,800.00"	"391,717.00"	"721,800.00"	"391,717.00"	0.05	"781,349,052.60"	11.48	0.42	9.63
915	SRIPANWA	10.8	10.8	10.7	10.8	-	"262,400.00"	"2,808,420.00"	"262,400.00"	"2,808,420.00"	0.09	"3,013,891,200.00"	-	0.9	7.03
916	ALLA	1.35	1.37	1.34	1.35	-	"483,700.00"	"655,555.00"	"483,701.00"	"655,556.50"	0.08	"810,000,000.00"	12.72	1.04	5.19
917	TPRIME	12.6	12.6	12.6	12.6	-	"801,400.00"	"10,097,640.00"	"801,400.00"	"10,097,640.00"	0.15	"6,898,500,000.00"	-	1.12	2.95
918	NETBAY	22.9	23.7	22.8	22.9	-	"125,800.00"	"2,903,890.00"	"125,800.00"	"2,903,890.00"	0.09	"4,580,000,000.00"	32.74	10.61	2.08
919	BTW	1.31	1.31	1.3	1.31	-	"22,300.00"	"29,208.00"	"22,301.00"	"29,209.31"	N/A	"990,360,000.00"	35.12	0.72	5.34
920	BWG-W4	0.01	0.02	0.01	0.01	-	"31,381,700.00"	"313,821.00"	"31,381,700.00"	"313,821.00"	5.36	"5,849,394.83"	-	-	-
921	SMT-W1	0.02	0.02	0.01	0.02	-	"185,100.00"	"1,852.00"	"185,100.00"	"1,852.00"	0.11	"3,345,900.14"	-	-	-
922	ML-W2	0.01	0.01	0.01	0.01	-	"1,113,100.00"	"11,131.00"	"1,113,100.00"	"11,131.00"	0.23	"4,839,792.80"	-	-	-
923	EVER-W3	0.03	0.04	0.03	0.03	-	"103,100.00"	"3,099.00"	"103,100.00"	"3,099.00"	0.03	"9,711,902.34"	-	-	-
924	TFG-W1	0.39	0.4	0.39	0.39	-	"49,000.00"	"19,550.00"	"49,000.00"	"19,550.00"	0.01	"193,708,414.38"	-	-	-
925	META-W2	0.01	0.01	0.01	0.01	-	"245,000.00"	"2,450.00"	"245,000.00"	"2,450.00"	0.24	"1,037,424.77"	-	-	-
926	ACC-W1	0.02	0.02	0.02	0.02	-	100	2	100	2	N/A	"5,999,993.00"	-	-	-
927	CHEWA	1.08	1.1	1.08	1.08	-	"1,883,300.00"	"2,043,330.00"	"1,883,312.00"	"2,043,343.08"	0.15	"1,377,029,357.64"	3.67	0.76	0.47
928	TNP	1.42	1.45	1.41	1.42	-	"302,900.00"	"434,476.00"	"302,900.00"	"434,476.00"	0.04	"1,136,000,000.00"	18.06	1.81	2.11
929	TAKUNI-W	0.14	0.14	0.13	0.14	-	"327,100.00"	"45,792.00"	"327,105.00"	"45,792.05"	0.08	"55,999,982.36"	-	-	-
930	HREIT	6.75	6.75	6.75	6.75	-	"37,800.00"	"255,150.00"	"37,803.00"	"255,170.25"	0.01	"4,742,780,283.00"	-	0.76	3.18
931	COM7	13.7	14	13.6	13.7	-	"9,749,200.00"	"134,431,920.00"	"9,749,405.00"	"134,434,751.40"	0.81	"16,440,000,000.00"	19.6	6.56	2.55
932	AIRA-W2	0.01	0.01	0.01	0.01	-	"200,100.00"	"2,001.00"	"200,100.00"	"2,001.00"	0.03	"7,818,867.27"	-	-	-
933	ITD-W1	0.02	0.03	0.02	0.02	-	"6,567,900.00"	"170,997.00"	"6,567,900.00"	"170,997.00"	0.62	"21,118,681.86"	-	-	-
934	DIGI-W2 <C >	0.01	0.01	0.01	0.01	-	"1,101,800.00"	"11,018.00"	"1,101,800.00"	"11,018.00"	0.06	"17,559,986.08"	-	-	-
935	S-W1	0.03	0.04	0.03	0.03	-	"1,134,800.00"	"34,049.00"	"1,134,866.00"	"34,050.36"	0.07	"48,988,604.64"	-	-	-
936	SIMAT-W3	0.2	0.2	0.19	0.2	-	"4,300.00"	831	"4,300.00"	831	0.01	"7,562,254.20"	-	-	-
937	SIMAT-W2	0.12	0.13	0.12	0.12	-	"29,400.00"	"3,544.00"	"29,400.00"	"3,544.00"	0.08	"4,537,352.52"	-	-	-
938	TH-W2	0.16	0.18	0.16	0.16	-	"436,600.00"	"72,623.00"	"436,600.00"	"72,623.00"	0.14	"51,466,454.08"	-	-	-
939	TTA-W5	0.01	0.01	0.01	0.01	-	"378,700.00"	"3,787.00"	"378,700.00"	"3,787.00"	0.22	"1,734,828.82"	-	-	-
940	TPCH	9.4	9.45	9.35	9.4	-	"271,200.00"	"2,546,400.00"	"271,200.00"	"2,546,400.00"	0.07	"3,771,280,000.00"	11.06	1.56	0.6
941	HARN	2.5	2.5	2.44	2.5	-	"44,300.00"	"108,868.00"	"44,300.00"	"108,868.00"	0.01	"1,461,250,000.00"	10.62	1.19	5.6
942	SUSCO-W1	0.01	0.01	0.01	0.01	-	"1,000,000.00"	"10,000.00"	"1,000,000.00"	"10,000.00"	0.36	"2,749,773.10"	-	-	-
943	MTC	49	49.75	48.75	49	-	"4,969,400.00"	"245,004,825.00"	"4,969,613.00"	"245,015,345.50"	0.23	"103,880,000,000.00"	30.08	9.2	0.37
944	SPA	12.4	12.8	12.3	12.4	-	"1,201,000.00"	"15,071,030.00"	"1,201,020.00"	"15,071,284.20"	0.21	"7,068,000,000.00"	34.98	8.11	0.97
945	BA	11.8	12	11.7	11.8	-	"1,189,400.00"	"14,071,420.00"	"1,189,469.00"	"14,072,235.50"	0.06	"24,780,000,000.00"	15.32	0.76	2.58
946	MONO-W1	0.3	0.32	0.29	0.3	-	"5,130,000.00"	"1,572,198.00"	"5,130,000.00"	"1,572,198.00"	0.38	"405,705,924.90"	-	-	-
947	XO	11.5	11.6	11.3	11.5	-	"233,300.00"	"2,684,160.00"	"233,301.00"	"2,684,171.50"	0.07	"4,067,488,647.50"	24.42	6.16	0.69
948	U-W1	0.01	0.01	0.01	0.01	-	100	1	100	1	N/A	"1,806,283,138.82"	-	-	-
949	DIGI-W1 <C >	0.02	0.02	0.01	0.02	-	"204,500.00"	"2,046.00"	"204,500.00"	"2,046.00"	0.03	"13,169,998.58"	-	-	-
950	PPF	11.1	11.1	11.1	11.1	-	"28,800.00"	"319,680.00"	"28,800.00"	"319,680.00"	0.01	"2,492,061,000.00"	-	1.03	6.68
951	SAPPE	14.9	15.2	14.8	14.9	-	"193,600.00"	"2,898,130.00"	"193,600.00"	"2,898,130.00"	0.06	"4,535,084,392.00"	11.96	1.91	4.63
952	RICHY	1.58	1.58	1.56	1.58	-	"774,000.00"	"1,212,529.00"	"774,251.00"	"1,212,880.24"	0.07	"1,650,877,912.04"	3.58	0.73	0.51
953	PLANET	1.45	1.45	1.45	1.45	-	"15,200.00"	"22,040.00"	"15,200.00"	"22,040.00"	0.01	"362,500,000.00"	400.79	0.89	N/A
954	AIRA	1.5	1.5	1.5	1.5	-	"3,100.00"	"4,650.00"	"3,100.00"	"4,650.00"	N/A	"9,472,317,589.50"	N/A	2.34	0.42
955	ICHI	2.96	3.04	2.96	2.96	-	"825,000.00"	"2,472,986.00"	"825,001.00"	"2,472,989.00"	0.06	"3,848,000,000.00"	32.23	0.66	5.07
956	TSR	1.81	1.83	1.8	1.81	-	"273,300.00"	"496,288.00"	"273,300.00"	"496,288.00"	0.05	"994,924,660.73"	10.28	0.89	7.27
957	SPVI	1.1	1.15	1.1	1.1	-	"823,800.00"	"922,097.00"	"823,921.00"	"922,232.52"	0.21	"440,000,000.00"	11.28	1.41	3.64
958	SUTHA	3.8	3.8	3.8	3.8	-	"9,000.00"	"34,200.00"	"9,000.00"	"34,200.00"	N/A	"1,140,000,000.00"	15.93	1.95	6.58
959	CPTGF	12.9	12.9	12.9	12.9	-	"14,200.00"	"183,180.00"	"14,200.00"	"183,180.00"	N/A	"12,474,300,000.00"	-	1.24	6.03
960	PCSGH	7	7	6.95	7	-	"18,400.00"	"128,705.00"	"18,400.00"	"128,705.00"	N/A	"10,675,000,000.00"	16.36	2.06	4
961	MEGA	29.5	30.5	29.25	29.5	-	"1,944,900.00"	"58,095,675.00"	"1,945,020.00"	"58,099,223.75"	0.22	"25,569,662,136.00"	21.57	4.82	2.37
962	BJCHI	1.88	1.92	1.88	1.88	-	"134,900.00"	"255,449.00"	"134,900.00"	"255,449.00"	0.01	"3,007,999,998.12"	N/A	0.78	N/A
963	CSS	1.89	1.91	1.89	1.89	-	"439,500.00"	"833,584.00"	"439,550.00"	"833,679.00"	0.04	"2,222,146,878.21"	12.85	1.4	9.52
964	CRYSTAL	9.8	9.8	9.75	9.8	-	"37,800.00"	"369,690.00"	"37,801.00"	"369,700.20"	0.01	"3,822,000,000.00"	-	0.92	7.38
965	MONO	1.82	1.86	1.8	1.82	-	"3,255,400.00"	"5,962,332.00"	"3,255,515.00"	"5,962,542.25"	0.09	"6,317,273,977.56"	N/A	2.26	3.26
966	SANKO	1.11	1.14	1.11	1.11	-	"272,000.00"	"304,273.00"	"272,000.00"	"304,273.00"	0.09	"331,995,408.93"	21.86	1.86	N/A
967	TCC-W4	0.16	0.16	0.15	0.16	-	"90,200.00"	"13,632.00"	"90,200.00"	"13,632.00"	0.02	"59,094,198.72"	-	-	-
968	BTSGIF-F	11.8	11.8	11.8	11.8	-	"3,000.00"	"35,400.00"	"3,000.00"	"35,400.00"	0.02	"68,298,400,000.00"	-	1.02	6.76
969	BTSGIF	11.8	11.8	11.7	11.8	-	"1,205,500.00"	"14,140,920.00"	"1,205,500.00"	"14,140,920.00"	0.02	"68,298,400,000.00"	-	1.02	6.76
970	ARROW	7.85	7.9	7.8	7.85	-	"45,400.00"	"356,300.00"	"45,400.00"	"356,300.00"	0.02	"1,991,926,368.70"	12.91	1.87	7.01
971	TMC	0.79	0.83	0.79	0.79	-	"502,500.00"	"400,999.00"	"502,500.00"	"400,999.00"	0.11	"362,431,240.38"	N/A	0.71	N/A
972	PPS	0.71	0.75	0.71	0.71	-	"2,991,900.00"	"2,176,226.00"	"2,991,956.00"	"2,176,266.88"	0.35	"610,497,150.82"	25.43	1.9	5.23
973	FPI	1.82	1.82	1.8	1.82	-	"89,300.00"	"161,349.00"	"89,300.00"	"161,349.00"	0.01	"2,753,714,479.88"	17.72	1.65	4.67
974	QHHR	8.45	8.45	8.45	8.45	-	"31,200.00"	"263,640.00"	"31,200.00"	"263,640.00"	0.01	"2,839,200,000.00"	-	0.61	7.11
975	UWC	0.05	0.06	0.05	0.05	-	"1,775,700.00"	"95,194.00"	"1,775,700.00"	"95,194.00"	0.01	"658,125,893.20"	N/A	0.38	N/A
976	TCC-W3	0.15	0.16	0.15	0.15	-	"1,086,000.00"	"167,500.00"	"1,086,000.00"	"167,500.00"	1.18	"13,830,354.60"	-	-	-
977	APCS	4.78	4.8	4.7	4.78	-	"158,000.00"	"755,192.00"	"158,000.00"	"755,192.00"	0.02	"3,154,799,340.36"	15.81	2.1	N/A
978	1DIV	11.1	11.14	11.1	11.1	-	"24,100.00"	"268,077.00"	"24,109.00"	"268,177.17"	0.03	"1,056,649,748.10"	-	0.98	9.01
979	QTC	4.88	4.88	4.86	4.88	-	"11,700.00"	"56,944.00"	"11,700.00"	"56,944.00"	N/A	"1,664,531,678.16"	N/A	1.2	N/A
980	COLOR	1.3	1.3	1.3	1.3	-	"1,500.00"	"1,950.00"	"1,500.00"	"1,950.00"	N/A	"765,654,003.40"	25.1	1.03	2.69
981	SSTPF	6.3	6.3	6.3	6.3	-	"3,500.00"	"22,050.00"	"3,500.00"	"22,050.00"	0.01	"425,250,000.00"	-	0.64	7.5
982	POPF	13.3	13.4	13.3	13.3	-	"47,700.00"	"634,610.00"	"47,707.00"	"634,703.80"	0.01	"6,405,793,380.00"	-	1.18	7.61
983	UPA	0.36	0.37	0.36	0.36	-	"1,159,300.00"	"418,357.00"	"1,159,300.00"	"418,357.00"	0.02	"2,401,200,063.00"	N/A	0.9	N/A
984	NBC <C >	0.45	0.45	0.44	0.45	-	"21,200.00"	"9,529.00"	"21,200.00"	"9,529.00"	N/A	"240,946,564.05"	N/A	4.79	N/A
985	JMART	4.96	5.05	4.96	4.96	-	"411,600.00"	"2,053,518.00"	"411,605.00"	"2,053,543.00"	0.06	"3,641,881,205.28"	N/A	1.25	10.08
986	QLT	3.88	3.88	3.82	3.88	-	"6,100.00"	"23,562.00"	"6,100.00"	"23,562.00"	0.01	"382,445,721.80"	218.36	0.89	9.02
987	SSPF	9.25	9.25	9.25	9.25	-	"15,000.00"	"138,750.00"	"15,000.00"	"138,750.00"	0.01	"1,544,750,000.00"	-	0.84	4.93
988	EFORL <C >	0.06	0.07	0.05	0.06	-	"12,440,300.00"	"746,319.00"	"12,440,333.00"	"746,320.65"	0.04	"1,933,011,119.52"	N/A	2.2	N/A
989	TISCO	81	82	80.75	81	-	"2,885,600.00"	"234,128,800.00"	"2,885,777.00"	"234,143,158.75"	0.36	"64,852,295,544.00"	9.52	1.81	6.17
990	CTARAF	4.7	4.7	4.66	4.7	-	"124,600.00"	"583,072.00"	"124,600.00"	"583,072.00"	0.04	"1,504,000,000.00"	-	0.72	7.04
991	AGE	0.91	0.92	0.91	0.91	-	"189,000.00"	"172,883.00"	"189,000.00"	"172,883.00"	0.01	"1,649,764,378.08"	13.86	1.1	0.28
992	PM	8.75	8.8	8.65	8.75	-	"206,300.00"	"1,801,715.00"	"206,392.00"	"1,802,524.60"	0.03	"5,234,646,375.00"	15.43	3.32	9.14
993	SABINA	29	29	29	29	-	"4,000.00"	"116,000.00"	"4,001.00"	"116,029.00"	N/A	"10,077,500,000.00"	29.89	5.69	2.83
994	CRANE	1.98	2	1.97	1.98	-	"45,800.00"	"90,715.00"	"45,824.00"	"90,761.56"	0.01	"1,498,974,590.52"	N/A	1.33	N/A
995	DIMET	0.88	0.88	0.87	0.88	-	"228,600.00"	"200,036.00"	"228,600.00"	"200,036.00"	0.04	"473,358,066.72"	N/A	1.39	N/A
996	SIMAT	1.88	1.93	1.87	1.88	-	"164,400.00"	"310,410.00"	"164,400.00"	"310,410.00"	0.03	"985,701,113.64"	N/A	1.04	N/A
997	BGT	1.04	1.06	1.04	1.04	-	"5,700.00"	"5,982.00"	"5,700.00"	"5,982.00"	N/A	"378,060,700.16"	N/A	0.79	0.87
998	URBNPF	4.6	4.6	4.6	4.6	-	100	460	100	460	N/A	"331,200,000.00"	-	0.87	6.71
999	TDEX	10.59	10.7	10.59	10.59	-	"94,900.00"	"1,010,011.00"	"94,900.00"	"1,010,011.00"	0.01	"18,644,366,194.20"	-	0.94	2.74
1000	DTAC-F	43.5	43.5	43.5	43.5	-	"2,000.00"	"87,000.00"	"2,000.00"	"87,000.00"	0.11	"109,511,258,750.00"	98.24	4.08	0.52
1001	SPF	23.2	23.2	23.1	23.2	-	"31,400.00"	"728,040.00"	"31,400.00"	"728,040.00"	N/A	"22,040,000,000.00"	-	1.84	6.47
1002	T <C >	0.06	0.06	0.05	0.06	-	"118,600.00"	"6,105.00"	"118,600.00"	"6,105.00"	N/A	"606,896,289.36"	N/A	2.47	N/A
1003	FORTH	5.95	5.95	5.95	5.95	-	"22,600.00"	"134,470.00"	"22,601.00"	"134,476.30"	N/A	"5,712,000,000.00"	12.06	3.53	7.06
1004	AKR	0.81	0.82	0.8	0.81	-	"391,100.00"	"317,780.00"	"391,190.00"	"317,845.01"	0.03	"1,088,064,417.24"	129.6	0.94	3.7
1005	PYLON	7.1	7.2	7.05	7.1	-	"116,500.00"	"829,100.00"	"116,500.00"	"829,100.00"	0.02	"5,324,101,111.60"	29.27	6.6	1.41
1006	IHL	7.6	7.65	7.55	7.6	-	"75,200.00"	"570,110.00"	"75,201.00"	"570,117.65"	0.01	"4,206,751,392.00"	15.19	2.75	5.99
1007	ACAP	2.76	2.86	2.76	2.76	-	"5,786,700.00"	"16,201,956.00"	"5,786,710.00"	"16,201,983.80"	1.83	"873,283,278.60"	12.27	0.73	9.04
1008	UEC	1.29	1.29	1.29	1.29	-	100	129	100	129	N/A	"735,958,674.00"	N/A	0.5	3.1
1009	KCAR	10.8	10.8	10.8	10.8	-	"32,100.00"	"346,680.00"	"32,100.00"	"346,680.00"	0.01	"2,700,000,000.00"	10.13	1.38	9.81
1010	PRIN	1.58	1.58	1.58	1.58	-	"65,500.00"	"103,490.00"	"65,500.00"	"103,490.00"	0.01	"1,927,618,572.90"	8.08	0.46	7.59
1011	EASON	2.14	2.16	2.14	2.14	-	"80,800.00"	"173,696.00"	"80,800.00"	"173,696.00"	0.01	"1,212,876,982.30"	18.63	1.03	4.67
1012	TIF1	8.75	8.8	8.75	8.75	-	"3,000.00"	"26,300.00"	"3,000.00"	"26,300.00"	N/A	"787,500,000.00"	-	0.82	6.31
1013	TSC	13.4	13.4	13.2	13.4	-	"1,900.00"	"25,280.00"	"1,901.00"	"25,293.40"	N/A	"3,481,320,000.00"	13.88	2.07	7.46
1014	SMIT	5.85	5.9	5.85	5.85	-	"126,600.00"	"740,955.00"	"126,600.00"	"740,955.00"	0.02	"3,100,500,000.00"	10.73	1.4	6.15
1015	GLOW	88.25	88.75	87.5	88.25	-	"1,361,500.00"	"120,281,200.00"	"1,361,690.00"	"120,298,004.00"	0.09	"129,097,839,338.75"	15.26	2.72	6.52
1016	CPR	5.25	5.3	5.2	5.25	-	"29,900.00"	"157,110.00"	"29,900.00"	"157,110.00"	0.02	"1,044,750,000.00"	10.49	1.43	2.86
1017	KSL	3.08	3.14	3.08	3.08	-	"475,000.00"	"1,473,092.00"	"475,001.00"	"1,473,095.26"	0.01	"13,583,516,466.52"	16.02	0.75	1.62
1018	TMT	13.1	13.2	13.1	13.1	-	"19,200.00"	"252,980.00"	"19,200.00"	"252,980.00"	N/A	"5,703,465,122.70"	11.76	2.16	9.16
1019	SPPT	4	4	3.92	4	-	"26,600.00"	"105,992.00"	"26,600.00"	"105,992.00"	0.01	"928,020,000.00"	N/A	2.12	N/A
1020	BSBM	0.93	0.95	0.93	0.93	-	"4,800.00"	"4,472.00"	"4,800.00"	"4,472.00"	N/A	"1,053,225,000.00"	19.92	0.55	11.83
1021	SAT	16.5	16.6	16.3	16.5	-	"375,000.00"	"6,178,940.00"	"375,000.00"	"6,178,940.00"	0.09	"7,015,699,251.00"	7.45	1.05	5.45
1022	MPG <C >	0.16	0.18	0.16	0.16	-	"517,100.00"	"87,904.00"	"517,100.00"	"87,904.00"	0.05	"156,440,589.44"	N/A	2.57	N/A
1023	SNC	13.7	13.9	13.6	13.7	-	"179,900.00"	"2,468,940.00"	"179,900.00"	"2,468,940.00"	0.06	"3,942,549,544.30"	8.26	1.45	6.57
1024	TOP	69.75	70.75	69.25	69.75	-	"10,568,600.00"	"739,134,400.00"	"10,996,012.00"	"769,750,204.75"	0.54	"142,291,944,141.75"	6.5	1.12	7.53
1025	FOCUS	1.57	1.57	1.55	1.57	-	"27,200.00"	"42,394.00"	"27,201.00"	"42,395.60"	0.01	"298,425,698.91"	N/A	2.26	N/A
1026	NEWS <C >	0.01	0.01	0.01	0.01	-	"50,800.00"	508	"50,800.00"	508	N/A	"678,875,111.11"	N/A	36.03	N/A
1027	DCON	0.5	0.51	0.49	0.5	-	"400,100.00"	"199,983.00"	"400,100.00"	"199,983.00"	0.01	"2,602,175,393.00"	17.61	1.16	9
1028	AQUA	0.4	0.41	0.39	0.4	-	"5,355,900.00"	"2,142,691.00"	"5,355,900.00"	"2,142,691.00"	0.12	"1,837,200,000.00"	3.51	0.46	2.5
1029	OISHI	76	77.5	75.75	76	-	"4,900.00"	"377,825.00"	"4,900.00"	"377,825.00"	N/A	"14,250,000,000.00"	14.04	2.38	3.68
1030	SIS	9.85	10	9.7	9.85	-	"93,900.00"	"922,575.00"	"93,900.00"	"922,575.00"	0.03	"3,449,456,751.75"	8.55	1.7	4.57
1031	NCH	0.87	0.87	0.85	0.87	-	"24,000.00"	"20,440.00"	"24,000.00"	"20,440.00"	N/A	"1,083,396,811.17"	28.44	0.43	N/A
1032	SDC	0.3	0.31	0.3	0.3	-	"349,700.00"	"105,312.00"	"349,700.00"	"105,312.00"	N/A	"3,397,326,965.40"	N/A	1.82	N/A
1033	HFT	2.92	2.92	2.9	2.92	-	"120,900.00"	"353,008.00"	"120,900.00"	"353,008.00"	0.02	"1,922,628,156.00"	10.41	0.7	6.85
1034	EIC <C >	0.04	0.05	0.04	0.04	-	"2,974,100.00"	"119,289.00"	"2,974,101.00"	"119,289.05"	0.09	"126,795,946.28"	N/A	0.23	N/A
1035	MFEC	2.8	2.8	2.76	2.8	-	"191,600.00"	"533,580.00"	"191,600.00"	"533,580.00"	0.04	"1,236,069,954.00"	15.48	0.65	8.93
1036	CPALL-F	72.5	72.5	72.5	72.5	-	"1,100.00"	"79,750.00"	"1,100.00"	"79,750.00"	0.26	"651,274,847,730.00"	31.16	8.19	1.52
1037	CPALL	72.5	73.25	72.5	72.5	-	"23,117,600.00"	"1,681,585,825.00"	"23,162,184.00"	"1,684,998,558.75"	0.26	"651,274,847,730.00"	31.16	8.19	1.52
1038	MACO	1.59	1.62	1.59	1.59	-	"26,339,500.00"	"42,220,826.00"	"26,339,505.00"	"42,220,834.26"	0.64	"6,561,424,019.07"	25.6	2.46	1.86
1039	AIT	19.9	20	19.9	19.9	-	"92,800.00"	"1,849,930.00"	"92,800.00"	"1,849,930.00"	0.04	"4,105,785,850.30"	15.18	1.52	10.3
1040	MIDA	0.58	0.59	0.57	0.58	-	"435,200.00"	"252,416.00"	"435,204.00"	"252,418.33"	0.02	"1,452,374,306.56"	16.8	0.37	N/A
1041	CI	1.22	1.23	1.22	1.22	-	"41,700.00"	"50,991.00"	"41,700.00"	"50,991.00"	N/A	"1,301,141,607.08"	N/A	1	2.05
1042	TSTH	0.67	0.67	0.66	0.67	-	"470,800.00"	"315,009.00"	"470,800.00"	"315,009.00"	0.01	"5,642,432,368.16"	13.37	0.6	N/A
1043	INET	3	3.06	2.98	3	-	"164,700.00"	"493,432.00"	"164,700.00"	"493,432.00"	0.03	"1,500,124,725.00"	7.85	0.83	4.2
1044	HMPRO	14.9	15.1	14.9	14.9	-	"12,634,000.00"	"188,744,980.00"	"12,634,299.00"	"188,749,458.50"	0.1	"195,952,850,572.50"	35.94	10.75	2.08
1045	BROOK	0.43	0.44	0.42	0.43	-	"389,100.00"	"167,567.00"	"389,100.00"	"167,567.00"	0.01	"2,424,170,092.38"	16.77	1.08	9.3
1046	CCET	1.72	1.73	1.71	1.72	-	"1,203,200.00"	"2,068,882.00"	"1,203,200.00"	"2,068,882.00"	0.03	"7,833,986,949.00"	48.46	0.46	5.81
1047	CGD	1.3	1.3	1.29	1.3	-	"394,800.00"	"511,087.00"	"394,802.00"	"511,089.61"	N/A	"10,745,966,340.20"	N/A	2.07	N/A
1048	FMT	25	25	25	25	-	"2,500.00"	"62,500.00"	"2,500.00"	"62,500.00"	0.01	"1,200,000,000.00"	9.06	0.79	6
1049	PL	3.3	3.34	3.3	3.3	-	"49,700.00"	"164,342.00"	"49,700.00"	"164,342.00"	0.01	"1,968,482,422.50"	9.03	0.68	5.76
1050	SIRI	1.27	1.28	1.26	1.27	-	"45,855,100.00"	"58,192,069.00"	"45,855,198.00"	"58,192,192.80"	0.31	"18,875,672,586.40"	10.3	0.62	9.56
1051	GJS <C >	0.13	0.14	0.13	0.13	-	"3,275,600.00"	"441,930.00"	"3,275,600.00"	"441,930.00"	0.02	"1,810,656,800.29"	N/A	0.13	N/A
1052	LST	3.98	4.02	3.96	3.98	-	"41,400.00"	"164,674.00"	"41,400.00"	"164,674.00"	0.01	"3,263,600,000.00"	9.42	0.93	4.52
1053	PRECHA	1.6	1.65	1.58	1.6	-	"141,200.00"	"226,668.00"	"141,200.00"	"226,668.00"	0.04	"537,600,000.00"	N/A	1.1	N/A
1054	SPORT <C >	0.14	0.14	0.13	0.14	-	"22,900.00"	"3,205.00"	"22,900.00"	"3,205.00"	N/A	"99,340,005.52"	N/A	N/A	N/A
1055	WIIK	1.97	1.99	1.96	1.97	-	"245,800.00"	"485,765.00"	"245,800.00"	"485,765.00"	0.07	"738,628,910.01"	25.06	0.81	5.58
1056	MAX	0.02	0.02	0.01	0.02	-	"3,121,500.00"	"62,124.00"	"3,121,500.00"	"62,124.00"	0.01	"597,005,856.48"	N/A	0.41	N/A
1057	NWR	0.77	0.78	0.76	0.77	-	"4,764,300.00"	"3,677,043.00"	"4,764,328.00"	"3,677,064.84"	0.18	"1,990,820,766.55"	9.36	0.52	N/A
1058	TTA	5.15	5.3	5.15	5.15	-	"1,121,900.00"	"5,833,835.00"	"1,121,914.00"	"5,833,907.10"	0.06	"9,385,689,630.90"	19.23	0.48	1.46
1059	VNG	4.9	4.9	4.88	4.9	-	"26,000.00"	"127,380.00"	"26,000.00"	"127,380.00"	N/A	"7,678,333,692.40"	N/A	0.99	9.18
1060	CK	25.25	25.75	25	25.25	-	"5,669,900.00"	"142,939,050.00"	"5,669,965.00"	"142,940,678.50"	0.33	"42,770,896,018.00"	18.27	1.7	1.98
1061	ZMICO	1	1	0.99	1	-	"241,700.00"	"239,497.00"	"241,700.00"	"239,497.00"	0.02	"1,307,736,926.00"	N/A	0.6	5
1062	CPN	75.25	75.75	75	75.25	-	"4,132,900.00"	"311,562,750.00"	"4,474,497.00"	"337,695,132.00"	0.1	"337,722,000,000.00"	30.67	5.28	1.86
1063	TRITN	0.38	0.39	0.38	0.38	-	"5,687,100.00"	"2,161,111.00"	"5,687,100.00"	"2,161,111.00"	0.07	"3,052,759,794.66"	27.93	3.08	N/A
1064	TGPRO	0.12	0.13	0.12	0.12	-	"870,000.00"	"104,604.00"	"870,071.00"	"104,611.81"	0.02	"566,334,847.92"	128.79	0.25	N/A
1065	KAMART	3.52	3.58	3.52	3.52	-	"648,000.00"	"2,296,502.00"	"648,044.00"	"2,296,659.08"	0.07	"3,097,593,016.32"	8.43	3.17	7.46
1066	CPL	2.86	2.86	2.86	2.86	-	"10,000.00"	"28,600.00"	"10,000.00"	"28,600.00"	N/A	"1,257,954,652.24"	N/A	1.16	0.19
1067	THIP	23.3	23.5	23.2	23.3	-	"23,800.00"	"555,100.00"	"23,800.00"	"555,100.00"	0.03	"1,864,000,000.00"	6.17	1.15	5.36
1068	IRC	20.8	20.9	20.7	20.8	-	"3,600.00"	"74,880.00"	"3,605.00"	"74,987.20"	N/A	"4,160,000,000.00"	11.6	1.16	4.31
1069	FANCY	0.77	0.82	0.77	0.77	-	"2,316,200.00"	"1,827,153.00"	"2,316,200.00"	"1,827,153.00"	0.38	"473,550,000.00"	N/A	0.42	N/A
1070	MAKRO	33.75	34	33	33.75	-	"231,300.00"	"7,775,750.00"	"231,310.00"	"7,776,085.25"	N/A	"162,000,000,000.00"	27.11	9.58	2.84
1071	ITD	2.22	2.26	2.22	2.22	-	"3,678,200.00"	"8,207,838.00"	"3,678,201.00"	"8,207,840.26"	0.07	"11,721,246,682.56"	31.91	0.84	N/A
1072	ROCK	16	16	15.5	16	-	"8,000.00"	"126,450.00"	"8,000.00"	"126,450.00"	0.04	"320,000,000.00"	N/A	0.78	N/A
1073	JAS	4.7	4.76	4.7	4.7	-	"4,526,600.00"	"21,386,408.00"	"4,526,824.00"	"21,387,471.92"	0.06	"38,252,669,556.10"	6.58	2.25	10.08
